name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,Type of Cereal,is_healthy
100% Bran,N,C,70.0,4.0,1.0,130.0,10.0,5.0,6.0,280.0,25.0,3.0,1.0,0.33,68.402973,Bran,healthy
100% Natural Bran,Q,C,120.0,3.0,5.0,15.0,2.0,8.0,8.0,135.0,0.0,3.0,1.0,1.0,33.983679,Bran,unhealthy
All-Bran,K,C,70.0,4.0,1.0,260.0,9.0,7.0,5.0,320.0,25.0,3.0,1.0,0.33,59.425505,Bran,unhealthy
All-Bran with Extra Fiber,K,C,50.0,4.0,0.0,140.0,14.0,8.0,0.0,330.0,25.0,3.0,1.0,0.5,93.704912,Bran,healthy
Almond Delight,R,C,110.0,2.0,2.0,200.0,1.0,14.0,8.0,90.0,25.0,3.0,1.0,0.75,34.384843,Other,unhealthy
Apple Cinnamon Cheerios,G,C,110.0,2.0,2.0,180.0,1.5,10.5,10.0,70.0,25.0,1.0,1.0,0.75,29.509541,Other,unhealthy
Apple Jacks,K,C,110.0,2.0,0.0,125.0,1.0,11.0,14.0,30.0,25.0,2.0,1.0,1.0,33.174094,Other,unhealthy
Basic 4,G,C,97.74436090225564,2.255639097744361,1.5037593984962405,157.89473684210526,1.5037593984962405,13.533834586466165,6.015037593984962,75.18796992481202,18.796992481203006,2.255639097744361,1.0,0.75,37.038562,Other,unhealthy
Bran Chex,R,C,90.0,2.0,1.0,200.0,4.0,15.0,6.0,125.0,25.0,1.0,1.0,0.67,49.120253,Bran,unhealthy
Bran Flakes,P,C,90.0,3.0,0.0,210.0,5.0,13.0,5.0,190.0,25.0,3.0,1.0,0.67,53.313813,Bran,unhealthy
Cap'n'Crunch,Q,C,120.0,1.0,2.0,220.0,0.0,12.0,12.0,35.0,25.0,2.0,1.0,0.75,18.042851,Crunch,unhealthy
Cheerios,G,C,110.0,6.0,2.0,290.0,2.0,17.0,1.0,105.0,25.0,1.0,1.0,1.25,50.764999,Other,unhealthy
Cinnamon Toast Crunch,G,C,120.0,1.0,3.0,210.0,0.0,13.0,9.0,45.0,25.0,2.0,1.0,0.75,19.823573,Crunch,unhealthy
Clusters,G,C,110.0,3.0,2.0,140.0,2.0,13.0,7.0,105.0,25.0,3.0,1.0,0.5,40.400208,Other,unhealthy
Cocoa Puffs,G,C,110.0,1.0,1.0,180.0,0.0,12.0,13.0,55.0,25.0,2.0,1.0,1.0,22.736446,Other,unhealthy
Corn Chex,R,C,110.0,2.0,0.0,280.0,0.0,22.0,3.0,25.0,25.0,1.0,1.0,1.0,41.445019,Corn,unhealthy
Corn Flakes,K,C,100.0,2.0,0.0,290.0,1.0,21.0,2.0,35.0,25.0,1.0,1.0,1.0,45.863324,Corn,unhealthy
Corn Pops,K,C,110.0,1.0,0.0,90.0,1.0,13.0,12.0,20.0,25.0,2.0,1.0,1.0,35.782791,Corn,unhealthy
Count Chocula,G,C,110.0,1.0,1.0,180.0,0.0,12.0,13.0,65.0,25.0,2.0,1.0,1.0,22.396513,Other,unhealthy
Cracklin' Oat Bran,K,C,110.0,3.0,3.0,140.0,4.0,10.0,7.0,160.0,25.0,3.0,1.0,0.5,40.448772,Bran,unhealthy
Cream of Wheat (Quick),N,H,100.0,3.0,0.0,80.0,1.0,21.0,0.0,90.0,0.0,2.0,1.0,1.0,64.533816,Wheat,unhealthy
Crispix,K,C,110.0,2.0,0.0,220.0,1.0,21.0,3.0,30.0,25.0,3.0,1.0,1.0,46.895644,Other,unhealthy
Crispy Wheat & Raisins,G,C,100.0,2.0,1.0,140.0,2.0,11.0,10.0,120.0,25.0,3.0,1.0,0.75,36.176196,Wheat,unhealthy
Double Chex,R,C,100.0,2.0,0.0,190.0,1.0,18.0,5.0,80.0,25.0,3.0,1.0,0.75,44.330856,Other,unhealthy
Froot Loops,K,C,110.0,2.0,1.0,125.0,1.0,11.0,13.0,30.0,25.0,2.0,1.0,1.0,32.207582,Other,unhealthy
Frosted Flakes,K,C,110.0,1.0,0.0,200.0,1.0,14.0,11.0,25.0,25.0,1.0,1.0,0.75,31.435973,Other,unhealthy
Frosted Mini-Wheats,K,C,100.0,3.0,0.0,0.0,3.0,14.0,7.0,100.0,25.0,2.0,1.0,0.8,58.345141,Wheat,unhealthy
Fruit & Fibre Dates; Walnuts; and Oats,P,C,96.0,2.4,1.6,128.0,4.0,9.6,8.0,160.0,20.0,2.4,1.0,0.67,40.917047,Other,healthy
Fruitful Bran,K,C,90.22556390977444,2.255639097744361,0.0,180.45112781954887,3.7593984962406015,10.526315789473683,9.022556390977444,142.85714285714286,18.796992481203006,2.255639097744361,1.0,0.67,41.015492,Bran,unhealthy
Fruity Pebbles,P,C,110.0,1.0,1.0,135.0,0.0,13.0,12.0,25.0,25.0,2.0,1.0,0.75,28.025765,Other,unhealthy
Golden Crisp,P,C,100.0,2.0,0.0,45.0,0.0,11.0,15.0,40.0,25.0,1.0,1.0,0.88,35.252444,Other,unhealthy
Golden Grahams,G,C,110.0,1.0,1.0,280.0,0.0,15.0,9.0,45.0,25.0,2.0,1.0,0.75,23.804043,Other,unhealthy
Grape Nuts Flakes,P,C,100.0,3.0,1.0,140.0,3.0,15.0,5.0,85.0,25.0,3.0,1.0,0.88,52.076897,Nut,unhealthy
Grape-Nuts,P,C,110.0,3.0,0.0,170.0,3.0,17.0,3.0,90.0,25.0,3.0,1.0,0.25,53.371007,Nut,unhealthy
Great Grains Pecan,P,C,120.0,3.0,3.0,75.0,3.0,13.0,4.0,100.0,25.0,3.0,1.0,0.33,45.811716,Other,unhealthy
Honey Graham Ohs,Q,C,120.0,1.0,2.0,220.0,1.0,12.0,11.0,45.0,25.0,2.0,1.0,1.0,21.871292,Other,unhealthy
Honey Nut Cheerios,G,C,110.0,3.0,1.0,250.0,1.5,11.5,10.0,90.0,25.0,1.0,1.0,0.75,31.072217,Nut,unhealthy
Honey-comb,P,C,110.0,1.0,0.0,180.0,0.0,14.0,11.0,35.0,25.0,1.0,1.0,1.33,28.742414,Other,unhealthy
Just Right Crunchy  Nuggets,K,C,110.0,2.0,1.0,170.0,1.0,17.0,6.0,60.0,100.0,3.0,1.0,1.0,36.523683,Crunch,unhealthy
Just Right Fruit & Nut,K,C,107.6923076923077,2.3076923076923075,0.7692307692307692,130.76923076923077,1.5384615384615383,15.384615384615383,6.9230769230769225,73.07692307692308,76.92307692307692,2.3076923076923075,1.0,0.75,36.471512,Nut,unhealthy
Kix,G,C,110.0,2.0,1.0,260.0,0.0,21.0,3.0,40.0,25.0,2.0,1.0,1.5,39.241114,Other,unhealthy
Life,Q,C,100.0,4.0,2.0,150.0,2.0,12.0,6.0,95.0,25.0,2.0,1.0,0.67,45.328074,Other,unhealthy
Lucky Charms,G,C,110.0,2.0,1.0,180.0,0.0,12.0,12.0,55.0,25.0,2.0,1.0,1.0,26.734515,Other,unhealthy
Maypo,A,H,100.0,4.0,1.0,0.0,0.0,16.0,3.0,95.0,25.0,2.0,1.0,1.0,54.850917,Other,unhealthy
Muesli Raisins; Dates; & Almonds,R,C,150.0,4.0,3.0,95.0,3.0,16.0,11.0,170.0,25.0,3.0,1.0,1.0,37.136863,Other,unhealthy
Muesli Raisins; Peaches; & Pecans,R,C,150.0,4.0,3.0,150.0,3.0,16.0,11.0,170.0,25.0,3.0,1.0,1.0,34.139765,Other,unhealthy
Mueslix Crispy Blend,K,C,106.66666666666667,2.0,1.3333333333333333,100.0,2.0,11.333333333333334,8.666666666666666,106.66666666666667,16.666666666666668,2.0,1.0,0.67,30.313351,Other,unhealthy
Multi-Grain Cheerios,G,C,100.0,2.0,1.0,220.0,2.0,15.0,6.0,90.0,25.0,1.0,1.0,1.0,40.105965,Other,unhealthy
Nut&Honey Crunch,K,C,120.0,2.0,1.0,190.0,0.0,15.0,9.0,40.0,25.0,2.0,1.0,0.67,29.924285,Crunch,unhealthy
Nutri-Grain Almond-Raisin,K,C,105.26315789473684,2.255639097744361,1.5037593984962405,165.41353383458645,2.255639097744361,15.789473684210526,5.263157894736842,97.74436090225564,18.796992481203006,2.255639097744361,1.0,0.67,40.69232,Nut,unhealthy
Nutri-grain Wheat,K,C,90.0,3.0,0.0,170.0,3.0,18.0,2.0,90.0,25.0,3.0,1.0,1.0,59.642837,Wheat,unhealthy
Oatmeal Raisin Crisp,G,C,104.0,2.4,1.6,136.0,1.2,10.8,8.0,96.0,20.0,2.4,1.0,0.5,30.450843,Other,unhealthy
Post Nat. Raisin Bran,P,C,90.22556390977444,2.255639097744361,0.7518796992481203,150.37593984962405,4.511278195488722,8.270676691729323,10.526315789473683,195.48872180451127,18.796992481203006,2.255639097744361,1.0,0.67,37.840594,Bran,unhealthy
Product 19,K,C,100.0,3.0,0.0,320.0,1.0,20.0,3.0,45.0,100.0,3.0,1.0,1.0,41.50354,Other,unhealthy
Puffed Rice,Q,C,100.0,2.0,0.0,0.0,0.0,26.0,0.0,30.0,0.0,6.0,1.0,1.0,60.756112,Rice,unhealthy
Puffed Wheat,Q,C,100.0,4.0,0.0,0.0,2.0,20.0,0.0,100.0,0.0,6.0,1.0,1.0,63.005645,Wheat,unhealthy
Quaker Oat Squares,Q,C,100.0,4.0,1.0,135.0,2.0,14.0,6.0,110.0,25.0,3.0,1.0,0.5,49.511874,Other,unhealthy
Quaker Oatmeal,Q,H,100.0,5.0,2.0,0.0,2.7,14.0,7.0,110.0,0.0,1.0,1.0,0.67,50.828392,Other,unhealthy
Raisin Bran,K,C,90.22556390977444,2.255639097744361,0.7518796992481203,157.89473684210526,3.7593984962406015,10.526315789473683,9.022556390977444,180.45112781954887,18.796992481203006,1.5037593984962405,1.0,0.75,39.259197,Bran,unhealthy
Raisin Nut Bran,G,C,100.0,3.0,2.0,140.0,2.5,10.5,8.0,140.0,25.0,3.0,1.0,0.5,39.7034,Bran,unhealthy
Raisin Squares,K,C,90.0,2.0,0.0,0.0,2.0,15.0,6.0,110.0,25.0,3.0,1.0,0.5,55.333142,Other,unhealthy
Rice Chex,R,C,110.0,1.0,0.0,240.0,0.0,23.0,2.0,30.0,25.0,1.0,1.0,1.13,41.998933,Rice,unhealthy
Rice Krispies,K,C,110.0,2.0,0.0,290.0,0.0,22.0,3.0,35.0,25.0,1.0,1.0,1.0,40.560159,Rice,unhealthy
Shredded Wheat,N,C,96.3855421686747,2.4096385542168677,0.0,0.0,3.6144578313253013,19.27710843373494,0.0,114.45783132530121,0.0,1.2048192771084338,1.0,1.0,68.235885,Wheat,healthy
Shredded Wheat 'n'Bran,N,C,90.0,3.0,0.0,0.0,4.0,19.0,0.0,140.0,0.0,1.0,1.0,0.67,74.472949,Bran,healthy
Shredded Wheat spoon size,N,C,90.0,3.0,0.0,0.0,3.0,20.0,0.0,120.0,0.0,1.0,1.0,0.67,72.801787,Wheat,unhealthy
Smacks,K,C,110.0,2.0,1.0,70.0,1.0,9.0,15.0,40.0,25.0,2.0,1.0,0.75,31.230054,Other,unhealthy
Special K,K,C,110.0,6.0,0.0,230.0,1.0,16.0,3.0,55.0,25.0,1.0,1.0,1.0,53.131324,Other,unhealthy
Strawberry Fruit Wheats,N,C,90.0,2.0,0.0,15.0,3.0,15.0,5.0,90.0,25.0,2.0,1.0,1.0,59.363993,Wheat,unhealthy
Total Corn Flakes,G,C,110.0,2.0,1.0,200.0,0.0,21.0,3.0,35.0,100.0,3.0,1.0,1.0,38.839746,Corn,unhealthy
Total Raisin Bran,G,C,93.33333333333333,2.0,0.6666666666666666,126.66666666666667,2.6666666666666665,10.0,9.333333333333334,153.33333333333334,66.66666666666667,2.0,1.0,1.0,28.592785,Bran,unhealthy
Total Whole Grain,G,C,100.0,3.0,1.0,200.0,3.0,16.0,3.0,110.0,100.0,3.0,1.0,1.0,46.658844,Other,unhealthy
Triples,G,C,110.0,2.0,1.0,250.0,0.0,21.0,3.0,60.0,25.0,3.0,1.0,0.75,39.106174,Other,unhealthy
Trix,G,C,110.0,1.0,1.0,140.0,0.0,13.0,12.0,25.0,25.0,2.0,1.0,1.0,27.753301,Other,unhealthy
Wheat Chex,R,C,100.0,3.0,1.0,230.0,3.0,17.0,3.0,115.0,25.0,1.0,1.0,0.67,49.787445,Wheat,unhealthy
Wheaties,G,C,100.0,3.0,1.0,200.0,3.0,17.0,3.0,110.0,25.0,1.0,1.0,1.0,51.592193,Wheat,unhealthy
Wheaties Honey Gold,G,C,110.0,2.0,1.0,200.0,1.0,16.0,8.0,60.0,25.0,1.0,1.0,0.75,36.187559,Wheat,unhealthy
